community,year,units
100 Mile House,2016,NA
100 Mile House,2017,NA
100 Mile House,2018,NA
Abbotsford,2016,327
Abbotsford,2017,NA
Abbotsford,2018,428
Alert Bay,2016,NA
Alert Bay,2017,NA
Alert Bay,2018,NA
Anmore,2016,NA
Anmore,2017,NA
Anmore,2018,NA
Armstrong,2016,NA
Armstrong,2017,NA
Armstrong,2018,NA
Ashcroft,2016,NA
Ashcroft,2017,NA
Ashcroft,2018,NA
Barriere,2016,NA
Barriere,2017,NA
Barriere,2018,NA
Belcarra,2016,NA
Belcarra,2017,NA
Belcarra,2018,NA
Bowen Island,2016,NA
Bowen Island,2017,NA
Bowen Island,2018,NA
Burnaby,2016,NA
Burnaby,2017,237
Burnaby,2018,114
Burns Lake,2016,NA
Burns Lake,2017,NA
Burns Lake,2018,NA
Cache Creek,2016,NA
Cache Creek,2017,NA
Cache Creek,2018,NA
Campbell River,2016,NA
Campbell River,2017,89
Campbell River,2018,171
Canal Flats,2016,NA
Canal Flats,2017,NA
Canal Flats,2018,NA
Castlegar,2016,NA
Castlegar,2017,NA
Castlegar,2018,NA
Central Saanich**,2016,NA
Central Saanich**,2017,NA
Central Saanich**,2018,40
Chase,2016,NA
Chase,2017,NA
Chase,2018,NA
Chetwynd,2016,NA
Chetwynd,2017,NA
Chetwynd,2018,NA
Chilliwack,2016,107
Chilliwack,2017,119
Chilliwack,2018,84
Clearwater,2016,NA
Clearwater,2017,26
Clearwater,2018,NA
Clinton,2016,NA
Clinton,2017,NA
Clinton,2018,NA
Coldstream,2016,NA
Coldstream,2017,NA
Coldstream,2018,NA
Colwood,2016,NA
Colwood,2017,NA
Colwood,2018,232
Comox,2016,NA
Comox,2017,NA
Comox,2018,84
Coquitlam,2016,41
Coquitlam,2017,63
Coquitlam,2018,75
Courtenay,2016,99
Courtenay,2017,37
Courtenay,2018,87
Cranbrook,2016,18
Cranbrook,2017,NA
Cranbrook,2018,61
Creston,2016,NA
Creston,2017,NA
Creston,2018,13
Cumberland,2016,NA
Cumberland,2017,NA
Cumberland,2018,NA
Dawson Creek,2016,NA
Dawson Creek,2017,NA
Dawson Creek,2018,NA
Delta**,2016,NA
Delta**,2017,NA
Delta**,2018,NA
Duncan,2016,8
Duncan,2017,NA
Duncan,2018,112
Elkford,2016,NA
Elkford,2017,NA
Elkford,2018,NA
Enderby,2016,NA
Enderby,2017,NA
Enderby,2018,NA
Esquimalt,2016,NA
Esquimalt,2017,NA
Esquimalt,2018,NA
Fernie,2016,NA
Fernie,2017,NA
Fernie,2018,NA
Fort St. James,2016,NA
Fort St. James,2017,NA
Fort St. James,2018,NA
Fort St. John,2016,NA
Fort St. John,2017,NA
Fort St. John,2018,NA
Fraser Lake,2016,NA
Fraser Lake,2017,NA
Fraser Lake,2018,NA
Fruitvale,2016,NA
Fruitvale,2017,NA
Fruitvale,2018,NA
Gibsons,2016,NA
Gibsons,2017,NA
Gibsons,2018,NA
Gold River,2016,NA
Gold River,2017,NA
Gold River,2018,NA
Golden,2016,NA
Golden,2017,NA
Golden,2018,NA
Grand Forks,2016,NA
Grand Forks,2017,NA
Grand Forks,2018,6
Granisle,2016,NA
Granisle,2017,NA
Granisle,2018,NA
Greenwood,2016,NA
Greenwood,2017,NA
Greenwood,2018,NA
Harrison Hot Springs,2016,NA
Harrison Hot Springs,2017,NA
Harrison Hot Springs,2018,NA
Hazelton,2016,NA
Hazelton,2017,NA
Hazelton,2018,NA
Highlands,2016,NA
Highlands,2017,NA
Highlands,2018,NA
Hope,2016,NA
Hope,2017,NA
Hope,2018,NA
Houston,2016,NA
Houston,2017,NA
Houston,2018,NA
Hudson's Hope,2016,NA
Hudson's Hope,2017,NA
Hudson's Hope,2018,NA
Invermere,2016,NA
Invermere,2017,NA
Invermere,2018,NA
Jumbo Glacier,2016,NA
Jumbo Glacier,2017,NA
Jumbo Glacier,2018,NA
Kamloops,2016,110
Kamloops,2017,212
Kamloops,2018,409
Kaslo,2016,NA
Kaslo,2017,NA
Kaslo,2018,NA
Kelowna,2016,790
Kelowna,2017,922
Kelowna,2018,530
Kent**,2016,NA
Kent**,2017,NA
Kent**,2018,NA
Keremeos,2016,NA
Keremeos,2017,16
Keremeos,2018,12
Kimberley,2016,NA
Kimberley,2017,NA
Kimberley,2018,12
Kitimat,2016,NA
Kitimat,2017,NA
Kitimat,2018,NA
Ladysmith,2016,NA
Ladysmith,2017,NA
Ladysmith,2018,NA
Lake Country,2016,NA
Lake Country,2017,NA
Lake Country,2018,NA
Lake Cowichan,2016,NA
Lake Cowichan,2017,NA
Lake Cowichan,2018,NA
Langford,2016,37
Langford,2017,265
Langford,2018,503
Langley**,2016,157
Langley**,2017,256
Langley**,2018,99
Lantzville,2016,NA
Lantzville,2017,NA
Lantzville,2018,NA
Lillooet,2016,NA
Lillooet,2017,NA
Lillooet,2018,NA
Lions Bay,2016,NA
Lions Bay,2017,NA
Lions Bay,2018,NA
Logan Lake,2016,NA
Logan Lake,2017,NA
Logan Lake,2018,NA
Lumby,2016,NA
Lumby,2017,NA
Lumby,2018,NA
Lytton,2016,NA
Lytton,2017,NA
Lytton,2018,NA
Mackenzie,2016,NA
Mackenzie,2017,NA
Mackenzie,2018,NA
Maple Ridge,2016,NA
Maple Ridge,2017,18
Maple Ridge,2018,96
Masset,2016,NA
Masset,2017,NA
Masset,2018,NA
McBride,2016,NA
McBride,2017,NA
McBride,2018,NA
Merritt,2016,NA
Merritt,2017,NA
Merritt,2018,NA
Metchosin,2016,NA
Metchosin,2017,NA
Metchosin,2018,NA
Midway,2016,NA
Midway,2017,NA
Midway,2018,NA
Mission,2016,NA
Mission,2017,NA
Mission,2018,NA
Montrose,2016,NA
Montrose,2017,NA
Montrose,2018,NA
Nakusp,2016,NA
Nakusp,2017,NA
Nakusp,2018,NA
Nanaimo,2016,62
Nanaimo,2017,282
Nanaimo,2018,435
Nelson,2016,NA
Nelson,2017,12
Nelson,2018,NA
New Denver,2016,NA
New Denver,2017,NA
New Denver,2018,NA
New Hazelton,2016,NA
New Hazelton,2017,NA
New Hazelton,2018,NA
New Westminster,2016,735
New Westminster,2017,44
New Westminster,2018,11
